tref,sref,spsJ_01,spsJ_02,spsJ_03
5.99,0.59570543,0.5957084,0.59571237,0.59571451
5.991,0.5957384,0.59574137,0.59574535,0.59574748
5.992,0.59577138,0.59577435,0.59577833,0.59578047
5.993,0.59580436,0.59580733,0.59581131,0.59581345
5.994,0.59583734,0.59584032,0.5958443,0.59584644
5.995,0.59587033,0.59587331,0.59587729,0.59587944
5.996,0.59590333,0.59590631,0.59591029,0.59591243
5.997,0.59593633,0.59593931,0.59594329,0.59594544
5.998,0.59596933,0.59597231,0.59597629,0.59597845
5.999,0.59600234,0.59600532,0.5960093,0.59601146
6,0.59603536,0.59603833,0.59604232,0.59604448
6.001,0.59606823,0.59607118,0.59607519,0.5960775
6.002,0.59609979,0.59610265,0.59610668,0.59611052
6.003,0.59612856,0.59613125,0.59613528,0.59614177
6.004,0.59615417,0.59615669,0.59616068,0.59616952
6.005,0.59617681,0.59617918,0.5961831,0.59619401
6.006,0.59619671,0.59619892,0.59620277,0.59621547
6.007,0.59621406,0.59621612,0.5962199,0.59623413
6.008,0.59622905,0.59623097,0.59623466,0.59625022
6.009,0.59624185,0.59624364,0.59624724,0.59626393
6.01,0.59625263,0.59625429,0.5962578,0.59627545
6.011,0.59626154,0.59626307,0.59626648,0.59628494
6.012,0.5962687,0.59627012,0.59627342,0.59629256
6.013,0.59627425,0.59627556,0.59627876,0.59629845
6.014,0.59627831,0.59627951,0.59628261,0.59630275
6.015,0.59628099,0.59628209,0.59628509,0.59630558
6.016,0.59628238,0.59628339,0.59628628,0.59630706
6.017,0.59628259,0.5962835,0.5962863,0.59630728
6.018,0.5962817,0.59628253,0.59628522,0.59630635
6.019,0.59627979,0.59628053,0.59628313,0.59630435
6.02,0.59627693,0.5962776,0.5962801,0.59630136
6.021,0.5962732,0.59627379,0.5962762,0.59629747
6.022,0.59626866,0.59626918,0.5962715,0.59629274
6.023,0.59626336,0.59626382,0.59626605,0.59628724
6.024,0.59625737,0.59625777,0.59625991,0.59628102
6.025,0.59625074,0.59625108,0.59625314,0.59627414
6.026,0.59624351,0.59624379,0.59624577,0.59626666
6.027,0.59623572,0.59623595,0.59623785,0.59625861
6.028,0.59622742,0.59622761,0.59622943,0.59625004
6.029,0.59621865,0.59621879,0.59622054,0.596241
6.03,0.59620943,0.59620953,0.59621121,0.59623151
6.031,0.59619981,0.59619986,0.59620148,0.59622162
6.032,0.59618981,0.59618982,0.59619138,0.59621135
6.033,0.59617946,0.59617943,0.59618093,0.59620074
6.034,0.59616878,0.59616872,0.59617016,0.5961898
6.035,0.5961578,0.59615771,0.59615909,0.59617857
6.036,0.59614655,0.59614642,0.59614776,0.59616707
6.037,0.59613503,0.59613488,0.59613616,0.59615531
6.038,0.59612328,0.5961231,0.59612433,0.59614332
6.039,0.5961113,0.5961111,0.59611229,0.59613112
6.04,0.59609912,0.59609889,0.59610004,0.59611872
